sq_mt_built,n_rooms,n_bathrooms,n_floors,buy_price,is_renewal_needed,has_lift,is_exterior,has_parking,energy_certificate,house_type
64.0,2,1,1,85000,0,0,1,0,4,0
70.0,3,1,1,129900,1,1,1,0,0,0
94.0,2,2,1,144247,0,1,1,0,0,0
64.0,2,1,1,109900,0,1,1,0,0,0
108.0,2,2,1,260000,0,1,1,1,0,0
126.0,4,2,1,195000,0,0,1,1,0,0
120.0,5,2,1,190000,0,0,1,1,2,0
125.0,3,2,1,198500,0,0,1,0,0,0
84.0,3,2,1,212000,0,1,1,1,2,0
85.0,2,1,1,131400,1,0,1,0,0,0
69.0,2,2,1,118000,1,0,1,0,0,0
122.0,3,2,1,246900,0,1,1,1,3,0
123.0,3,2,1,195000,0,1,1,0,4,0
109.0,3,2,1,205000,0,1,1,0,3,0
64.0,3,1,1,72000,0,0,1,0,2,0
115.0,3,1,1,160000,0,0,1,0,0,0
115.0,3,1,1,184900,0,0,1,0,0,0
65.0,3,1,1,90000,0,0,1,0,0,0
75.0,3,1,1,129900,1,1,1,0,0,0
60.0,2,1,1,94900,0,0,1,0,0,0
60.0,2,1,1,89900,0,0,1,0,0,0
95.0,4,2,1,144900,0,0,1,0,0,0
76.0,3,1,1,110000,1,0,1,0,0,0
51.0,2,1,1,93000,0,0,1,0,0,0
134.0,3,2,1,130000,0,1,1,0,0,0
62.0,2,1,1,104000,0,0,1,0,0,0
75.0,3,1,1,138000,0,0,1,1,0,0
112.0,4,2,1,280000,0,1,1,1,6,0
65.0,3,1,1,150000,1,1,1,0,0,0
70.0,2,1,1,145900,0,0,1,0,3,0
75.0,1,1,1,92500,0,1,1,0,0,0
123.0,3,2,1,298000,0,1,1,1,0,0
61.0,3,1,1,99900,0,0,1,0,0,0
72.0,2,1,1,138000,0,0,1,1,0,0
61.0,3,1,1,100000,0,0,1,0,0,0
71.0,3,1,1,131400,1,0,1,0,0,0
87.0,3,1,1,96000,1,0,1,0,3,0
60.0,2,1,1,154000,0,0,1,0,7,0
78.0,4,1,1,146700,0,1,1,0,1,0
52.0,1,1,1,92500,0,0,1,0,1,0
125.0,3,3,2,275000,0,1,1,0,4,3
75.0,0,1,1,83800,0,1,1,0,0,2
97.0,2,2,1,266122,0,1,1,0,0,0
93.0,2,2,1,228273,0,1,1,0,0,0
103.0,4,2,1,171900,0,1,1,0,0,0
83.0,2,2,1,228273,0,1,1,1,0,4
45.0,2,1,1,85000,1,0,1,0,3,0
120.0,3,2,1,298000,0,1,1,1,0,0
74.0,3,1,1,139000,0,0,1,0,0,0
125.0,3,2,2,272500,0,1,1,0,2,3
126.0,4,2,1,275000,0,1,1,1,0,0
158.0,3,2,1,289000,0,1,1,1,0,4
65.0,2,1,1,115000,0,0,1,0,1,0
108.0,3,2,1,179000,0,1,1,0,0,0
62.0,2,1,1,123000,0,1,1,0,3,0
51.0,2,1,1,89500,1,0,1,0,0,0
112.0,3,2,1,289000,0,1,1,1,3,0
109.0,3,2,1,216278,0,1,1,1,0,0
107.0,3,2,1,207503,0,1,1,1,0,0
76.0,2,2,1,162793,0,1,1,1,0,0
105.0,3,2,1,204999,0,1,1,1,0,0
109.0,3,2,1,220879,0,1,1,1,0,0
108.0,3,2,1,218258,0,1,1,1,0,0
109.0,3,2,1,231855,0,1,1,1,0,0
76.0,2,2,1,163397,0,1,1,1,0,0
76.0,2,2,1,160759,0,1,1,1,0,0
108.0,3,2,1,217169,0,1,1,1,0,0
76.0,2,2,1,165208,0,1,1,1,0,0
109.0,3,2,1,219775,0,1,1,1,0,0
108.0,3,2,1,230817,0,1,1,1,0,0
108.0,3,2,1,213722,0,1,1,1,0,0
111.0,2,2,1,230749,0,1,1,1,0,4
115.0,3,2,1,233789,0,1,1,1,0,0
115.0,3,2,1,230789,0,1,1,1,0,0
117.0,3,2,1,244171,0,1,1,1,0,0
117.0,3,2,1,243468,0,1,1,1,0,0
117.0,3,2,1,244798,0,1,1,1,0,0
118.0,3,2,1,219235,0,1,1,1,0,0
115.0,3,2,1,242789,0,1,1,1,0,0
97.0,4,1,1,130000,0,0,1,0,3,0
106.0,3,2,1,251569,0,1,1,0,0,0
103.0,3,2,1,235402,0,1,1,0,0,0
103.0,3,2,1,235172,0,1,1,0,0,0
103.0,3,2,1,236227,0,1,1,0,0,0
114.0,3,2,1,254710,0,1,1,0,0,0
150.0,2,1,2,159000,1,0,1,1,2,1
140.0,3,3,2,272500,0,1,1,0,4,3
58.0,3,1,1,85000,0,0,1,0,3,0
65.0,3,1,1,94000,0,0,1,0,0,0
110.0,4,2,1,175000,0,0,1,0,3,0
173.0,4,2,1,268000,0,1,1,1,0,0
75.0,2,1,1,156000,0,1,1,0,0,4
